Description,Currency,Container_type,Container_size,Unit,Rate/unit
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,683.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,9.45
DHC,INR,standard,45HC,PER_CONTAINER,5.0
DHC,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,74.0
PSS,INR,standard,20,PER_SHIPMENT,74.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,89.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,154.86
IMP,INR,standard,20,PER_CONTAINER,5.0
IMP,INR,standard,20,PER_CONTAINER,74.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
PSS,INR,standard,40,PER_SHIPMENT,74.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,89.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,74.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,8.7
IMP,INR,standard,40,PER_CONTAINER,89.0
IMP,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,89.0
PSS,INR,standard,40HC,PER_SHIPMENT,74.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,89.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,154.86
IMP,INR,standard,40HC,PER_CONTAINER,5.0
IMP,INR,standard,40HC,PER_CONTAINER,89.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
PSS,INR,standard,45HC,PER_SHIPMENT,74.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,89.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,8.7
IMP,INR,standard,45HC,PER_CONTAINER,5.0
IMP,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
LSS,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,74.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,74.0
ODF,INR,standard,20,PER_CONTAINER,5.0
ODF,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
LSS,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,74.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.0
ODF,INR,standard,40,PER_CONTAINER,74.0
ODF,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,74.0
LSS,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,74.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,74.0
ODF,INR,standard,40HC,PER_CONTAINER,5.0
ODF,INR,standard,40HC,PER_CONTAINER,74.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
LSS,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,74.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
ODF,INR,standard,45HC,PER_CONTAINER,5.0
ODF,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
OHC,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,43.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
PSS,INR,standard,20,PER_CONTAINER,5.0
PSS,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
OHC,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.0
PSS,INR,standard,40,PER_CONTAINER,0.0
PSS,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
OHC,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,43.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
PSS,INR,standard,40HC,PER_CONTAINER,43.0
PSS,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,43.0
OHC,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,43.0
PSS,INR,standard,45HC,PER_CONTAINER,43.0
PSS,INR,standard,45HC,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
CFO,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
LSS,INR,standard,20,PER_CONTAINER,43.0
LSS,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,43.0
CFO,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,43.0
LSS,INR,standard,40,PER_CONTAINER,0.0
LSS,INR,standard,40,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
CFO,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
LSS,INR,standard,40HC,PER_CONTAINER,5.0
LSS,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
CFO,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
LSS,INR,standard,45HC,PER_CONTAINER,5.0
LSS,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
REB,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
OHC,INR,standard,20,PER_CONTAINER,5.0
OHC,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
REB,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.0
OHC,INR,standard,40,PER_CONTAINER,0.0
OHC,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
REB,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
OHC,INR,standard,40HC,PER_CONTAINER,5.0
OHC,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
REB,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
OHC,INR,standard,45HC,PER_CONTAINER,5.0
OHC,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
BAS,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
CFO,INR,standard,20,PER_CONTAINER,5.0
CFO,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
BAS,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.0
CFO,INR,standard,40,PER_CONTAINER,0.0
CFO,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
BAS,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
CFO,INR,standard,40HC,PER_CONTAINER,5.0
CFO,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
BAS,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,3000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
CFO,INR,standard,45HC,PER_CONTAINER,5.0
CFO,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,43.0
CFD,INR,standard,20,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
REB,INR,standard,20,PER_CONTAINER,5.0
REB,INR,standard,20,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
CFD,INR,standard,40,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,43.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,7.15
REB,INR,standard,40,PER_CONTAINER,0.0
REB,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
CFD,INR,standard,40HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
REB,INR,standard,40HC,PER_CONTAINER,5.0
REB,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
CFD,INR,standard,45HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,3500.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,7.15
REB,INR,standard,45HC,PER_CONTAINER,5.0
REB,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DDF,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,43.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,45.15
BAS,INR,standard,20,PER_CONTAINER,5.0
BAS,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
DDF,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,43.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.25
BAS,INR,standard,40,PER_CONTAINER,43.0
BAS,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,43.0
DDF,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,43.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,45.15
BAS,INR,standard,40HC,PER_CONTAINER,5.0
BAS,INR,standard,40HC,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
DDF,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,43.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,34.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.25
BAS,INR,standard,45HC,PER_CONTAINER,5.0
BAS,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DHC,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
CFD,INR,standard,20,PER_CONTAINER,5.0
CFD,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
DHC,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.25
CFD,INR,standard,40,PER_CONTAINER,5.0
CFD,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
DHC,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
CFD,INR,standard,40HC,PER_CONTAINER,5.0
CFD,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
DHC,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,23.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.25
CFD,INR,standard,45HC,PER_CONTAINER,5.0
CFD,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
IMP,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
DDF,INR,standard,20,PER_CONTAINER,5.0
DDF,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
IMP,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,5.25
DDF,INR,standard,40,PER_CONTAINER,5.0
DDF,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
IMP,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
DDF,INR,standard,40HC,PER_CONTAINER,5.0
DDF,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
IMP,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,34.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,5.25
DDF,INR,standard,45HC,PER_CONTAINER,5.0
DDF,INR,standard,45HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,80.0
ODF,INR,standard,20,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,60.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,9.0
DHC,INR,standard,20,PER_CONTAINER,5.0
DHC,INR,standard,20,PER_CONTAINER,80.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
ODF,INR,standard,40,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,80.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,9.0
DHC,INR,standard,40,PER_CONTAINER,5.0
DHC,INR,standard,40,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
ODF,INR,standard,40HC,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,89.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,9.0
DHC,INR,standard,40HC,PER_CONTAINER,60.0
DHC,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,60.0
ODF,INR,standard,45HC,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,23.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,108.0
DHC,INR,standard,45HC,PER_CONTAINER,89.0
DHC,INR,standard,45HC,PER_CONTAINER,60.0

