Description,Currency,Container_type,Container_size,Unit,Rate/unit
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,22.0
THC (per container),INR,standard,40HC,PER_CONTAINER,22.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
DDF,INR,standard,40HC,PER_CONTAINER,22.0

PORT,THBKK1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
CFD,INR,standard,45HC,PER_SHIPMENT,22.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,23.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,370.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
DDF,INR,standard,45HC,PER_CONTAINER,5.0

PORT,GBTIL1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
DDF,INR,standard,20,PER_SHIPMENT,21.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,22.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,22.0
THC (per container),INR,standard,20,PER_CONTAINER,21.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DHC,INR,standard,20,PER_CONTAINER,22.0

PORT,GBTIL1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
DDF,INR,standard,40,PER_SHIPMENT,21.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,22.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
DHC,INR,standard,40,PER_CONTAINER,5.0

PORT,GBTIL1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,21.0
DDF,INR,standard,40HC,PER_SHIPMENT,21.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,22.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,21.0
THC (per container),INR,standard,40HC,PER_CONTAINER,21.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
DHC,INR,standard,40HC,PER_CONTAINER,21.0

PORT,GBTIL1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
DDF,INR,standard,45HC,PER_SHIPMENT,21.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,22.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,739.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
DHC,INR,standard,45HC,PER_CONTAINER,5.0

PORT,AEDXB1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
DHC,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,21.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,21.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
ODF,INR,standard,20,PER_CONTAINER,21.0

PORT,AEDXB1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,89.0
DHC,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,21.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,89.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
ODF,INR,standard,40,PER_CONTAINER,5.0

PORT,AEDXB1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
DHC,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,21.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
ODF,INR,standard,40HC,PER_CONTAINER,5.0

PORT,AEDXB1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,89.0
DHC,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,21.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,89.0
THC (per container),INR,standard,45HC,PER_CONTAINER,683.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
ODF,INR,standard,45HC,PER_CONTAINER,89.0

PORT,BEANR1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
IMP,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,89.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,89.0
PSS,INR,standard,20,PER_CONTAINER,5.0

PORT,BEANR1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,74.0
IMP,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,89.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,89.0
THC (per container),INR,standard,40,PER_CONTAINER,74.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,89.0
PSS,INR,standard,40,PER_CONTAINER,89.0

PORT,BEANR1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
IMP,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,89.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,89.0
PSS,INR,standard,40HC,PER_CONTAINER,5.0

PORT,BEANR1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,74.0
IMP,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,89.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,74.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,89.0
PSS,INR,standard,45HC,PER_CONTAINER,74.0

PORT,ESBCN1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
ODF,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,74.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,74.0
LSS,INR,standard,20,PER_CONTAINER,5.0

PORT,ESBCN1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
ODF,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,74.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,74.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,74.0
LSS,INR,standard,40,PER_CONTAINER,74.0

PORT,ESBCN1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
ODF,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,74.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,74.0
LSS,INR,standard,40HC,PER_CONTAINER,5.0

PORT,ESBCN1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
ODF,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,74.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,74.0
LSS,INR,standard,45HC,PER_CONTAINER,0.0

PORT,USNYC1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
PSS,INR,standard,20,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,43.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
OHC,INR,standard,20,PER_CONTAINER,5.0

PORT,USNYC1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
PSS,INR,standard,40,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
OHC,INR,standard,40,PER_CONTAINER,0.0

PORT,USNYC1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,43.0
PSS,INR,standard,40HC,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,40HC,PER_CONTAINER,43.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
OHC,INR,standard,40HC,PER_CONTAINER,43.0

PORT,USNYC1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
PSS,INR,standard,45HC,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
OHC,INR,standard,45HC,PER_CONTAINER,0.0

PORT,USOUP6
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
LSS,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
CFO,INR,standard,20,PER_CONTAINER,43.0

PORT,USOUP6
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
LSS,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
CFO,INR,standard,40,PER_CONTAINER,0.0

PORT,USOUP6
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
LSS,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
CFO,INR,standard,40HC,PER_CONTAINER,5.0

PORT,USOUP6
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
LSS,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
CFO,INR,standard,45HC,PER_CONTAINER,0.0

PORT,CNXAM1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
OHC,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
REB,INR,standard,20,PER_CONTAINER,5.0

PORT,CNXAM1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
OHC,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
REB,INR,standard,40,PER_CONTAINER,0.0

PORT,CNXAM1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
OHC,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
REB,INR,standard,40HC,PER_CONTAINER,5.0

PORT,CNXAM1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
OHC,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
REB,INR,standard,45HC,PER_CONTAINER,0.0

PORT,MYPKG1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
CFO,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
BAS,INR,standard,20,PER_CONTAINER,5.0

PORT,MYPKG1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
CFO,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
BAS,INR,standard,40,PER_CONTAINER,0.0

PORT,MYPKG1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
CFO,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
BAS,INR,standard,40HC,PER_CONTAINER,5.0

PORT,MYPKG1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
CFO,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,3000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
BAS,INR,standard,45HC,PER_CONTAINER,0.0

PORT,USLAX1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
REB,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
CFD,INR,standard,20,PER_CONTAINER,5.0

PORT,USLAX1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,43.0
REB,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,43.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
CFD,INR,standard,40,PER_CONTAINER,0.0

PORT,USLAX1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
REB,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
CFD,INR,standard,40HC,PER_CONTAINER,5.0

PORT,USLAX1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,43.0
REB,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,45HC,PER_CONTAINER,3500.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
CFD,INR,standard,45HC,PER_CONTAINER,43.0

PORT,USLGB1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
BAS,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,43.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,43.0
DDF,INR,standard,20,PER_CONTAINER,5.0

PORT,USLGB1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
BAS,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,43.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,43.0
DDF,INR,standard,40,PER_CONTAINER,43.0

PORT,USLGB1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
BAS,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,43.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,43.0
DDF,INR,standard,40HC,PER_CONTAINER,5.0

PORT,USLGB1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
BAS,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,43.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,34.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,43.0
DDF,INR,standard,45HC,PER_CONTAINER,5.0

PORT,USHOU1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
CFD,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DHC,INR,standard,20,PER_CONTAINER,5.0

PORT,USHOU1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
CFD,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
DHC,INR,standard,40,PER_CONTAINER,5.0

PORT,USHOU1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
CFD,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
DHC,INR,standard,40HC,PER_CONTAINER,5.0

PORT,USHOU1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
CFD,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,23.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
DHC,INR,standard,45HC,PER_CONTAINER,5.0

PORT,USA2N6
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
DDF,INR,standard,20,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
IMP,INR,standard,20,PER_CONTAINER,5.0

PORT,USA2N6
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
DDF,INR,standard,40,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
IMP,INR,standard,40,PER_CONTAINER,5.0

PORT,USA2N6
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,5.0
DDF,INR,standard,40HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40HC,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
IMP,INR,standard,40HC,PER_CONTAINER,5.0

PORT,USA2N6
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
DDF,INR,standard,45HC,PER_SHIPMENT,5.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,34.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
IMP,INR,standard,45HC,PER_CONTAINER,5.0

PORT,USCHI1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
DHC,INR,standard,20,PER_SHIPMENT,89.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,20,PER_CONTAINER,60.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
